,From,To,Value
466,northvirginia_google,singapore_google,0.2738
467,ohio_aws,singapore_google,0.0
468,oregon_aws,singapore_google,0.3332
469,oregon_google,singapore_google,0.3526
470,paris_aws,singapore_google,0.0
471,saopaulo_aws,singapore_google,0.1068
472,saopaulo_google,singapore_google,0.1098
473,seoul_aws,singapore_google,0.0
474,singapore_aws,singapore_google,0.9044
475,singapore_google,singapore_google,1.0
476,sydney_aws,singapore_google,0.427
477,sydney_google,singapore_google,0.4454
478,tokyo_aws,singapore_google,0.4642
479,tokyo_google,singapore_google,0.5142
480,central_aws,sydney_aws,0.2618
481,frankfurt_aws,sydney_aws,0.1598
482,frankfurt_google,sydney_aws,0.1466
483,ireland_aws,sydney_aws,0.1774
484,london_aws,sydney_aws,0.166
485,london_google,sydney_aws,0.161
486,mumbai_aws,sydney_aws,0.2008
487,mumbai_google,sydney_aws,0.3114
488,northcalifornia_aws,sydney_aws,0.3456
489,northvirginia_aws,sydney_aws,0.269
490,northvirginia_google,sydney_aws,0.253
491,ohio_aws,sydney_aws,0.276
492,oregon_aws,sydney_aws,0.3656
493,oregon_google,sydney_aws,0.3
494,paris_aws,sydney_aws,0.1733
495,saopaulo_aws,sydney_aws,0.075
496,saopaulo_google,sydney_aws,0.1118
497,seoul_aws,sydney_aws,0.3403
498,singapore_aws,sydney_aws,0.2988
499,singapore_google,sydney_aws,0.3917
500,sydney_aws,sydney_aws,1.0
501,sydney_google,sydney_aws,0.6664
502,tokyo_aws,sydney_aws,0.385
503,tokyo_google,sydney_aws,0.3614
504,central_aws,sydney_google,0.0
505,frankfurt_aws,sydney_google,0.1646
506,frankfurt_google,sydney_google,0.1733
507,ireland_aws,sydney_google,0.0
508,london_aws,sydney_google,0.1862
509,london_google,sydney_google,0.1927
510,mumbai_aws,sydney_google,0.323
511,mumbai_google,sydney_google,0.3688
512,northcalifornia_aws,sydney_google,0.0
513,northvirginia_aws,sydney_google,0.2847
514,northvirginia_google,sydney_google,0.2964
515,ohio_aws,sydney_google,0.0
516,oregon_aws,sydney_google,0.3213
517,oregon_google,sydney_google,0.3462
518,paris_aws,sydney_google,0.0
519,saopaulo_aws,sydney_google,0.1306
520,saopaulo_google,sydney_google,0.1377
521,seoul_aws,sydney_google,0.0
522,singapore_aws,sydney_google,0.4126
523,singapore_google,sydney_google,0.4874
524,sydney_aws,sydney_google,0.9674
525,sydney_google,sydney_google,1.0
526,tokyo_aws,sydney_google,0.4027
527,tokyo_google,sydney_google,0.4382
528,central_aws,tokyo_aws,0.3349
529,frankfurt_aws,tokyo_aws,0.2187
530,frankfurt_google,tokyo_aws,0.2068
531,ireland_aws,tokyo_aws,0.2447
532,london_aws,tokyo_aws,0.2328
533,london_google,tokyo_aws,0.2204
534,mumbai_aws,tokyo_aws,0.3584
535,mumbai_google,tokyo_aws,0.3406
536,northcalifornia_aws,tokyo_aws,0.4026
537,northvirginia_aws,tokyo_aws,0.3282
538,northvirginia_google,tokyo_aws,0.3117
539,ohio_aws,tokyo_aws,0.3284
540,oregon_aws,tokyo_aws,0.4292
541,oregon_google,tokyo_aws,0.3947
542,paris_aws,tokyo_aws,0.2283
543,saopaulo_aws,tokyo_aws,0.1694
544,saopaulo_google,tokyo_aws,0.1662
545,seoul_aws,tokyo_aws,0.5978
546,singapore_aws,tokyo_aws,0.4618
547,singapore_google,tokyo_aws,0.4212
548,sydney_aws,tokyo_aws,0.3742
549,sydney_google,tokyo_aws,0.368
550,tokyo_aws,tokyo_aws,1.0
551,tokyo_google,tokyo_aws,0.6346
552,central_aws,tokyo_google,0.0
553,frankfurt_aws,tokyo_google,0.2127
554,frankfurt_google,tokyo_google,0.2424
555,ireland_aws,tokyo_google,0.0
556,london_aws,tokyo_google,0.253
557,london_google,tokyo_google,0.2418
558,mumbai_aws,tokyo_google,0.3698
559,mumbai_google,tokyo_google,0.365
560,northcalifornia_aws,tokyo_google,0.0
561,northvirginia_aws,tokyo_google,0.3429
562,northvirginia_google,tokyo_google,0.3726
563,ohio_aws,tokyo_google,0.0
564,oregon_aws,tokyo_google,0.4185
565,oregon_google,tokyo_google,0.4046
566,paris_aws,tokyo_google,0.0
567,saopaulo_aws,tokyo_google,0.1863
568,saopaulo_google,tokyo_google,0.1918
569,seoul_aws,tokyo_google,0.0
570,singapore_aws,tokyo_google,0.4579
571,singapore_google,tokyo_google,0.4476
572,sydney_aws,tokyo_google,0.3972
573,sydney_google,tokyo_google,0.3688
574,tokyo_aws,tokyo_google,0.7992
575,tokyo_google,tokyo_google,1.0
